"datetime","avg_temperature"
"2016-01-02","5.279224973089339"
"2016-01-03","6.589978448275872"
"2016-01-04","5.857883369330442"
"2016-01-05","4.556850053937426"
"2016-01-06","4.39697950377562"
"2016-01-07","3.5731681034482805"
"2016-01-08","2.8967707212055984"
"2016-01-09","2.254251883745963"
"2016-01-10","2.7981700753498404"
"2016-01-11","1.908396124865444"
"2016-01-12","1.2224973089343372"
"2016-01-13","1.0043057050592028"
"2016-01-14","1.471151776103336"
"2016-01-15","0.32938643702906073"
"2016-01-16","0.5776103336921427"
"2016-01-17","1.2129171151776112"
"2016-01-18","2.574245689655166"
"2016-01-19","1.1306034482758631"
"2016-01-20","1.034159482758622"
"2016-01-21","0.9690732758620686"
"2016-01-22","1.3158576051779918"
"2016-01-23","0.40731969860064404"
"2016-01-24","-2.85987055016181"
"2016-01-25","-2.3254584681769144"
"2016-01-26","0.8026968716289111"
"2016-01-27","2.715965480043151"
"2016-01-28","3.157112068965516"
"2016-01-29","3.029310344827582"
"2016-01-30","2.226157158234659"
"2016-01-31","2.1456404736275556"
"2016-02-01","0.9064585575888042"
"2016-02-02","0.5683189655172396"
"2016-02-03","0.6134698275862078"
"2016-02-04","1.899030172413792"
"2016-02-05","2.6912809472551116"
"2016-02-06","1.1809472551130238"
"2016-02-07","-0.04886975242196083"
"2016-02-08","0.6192887931034505"
"2016-02-09","3.1281249999999976"
"2016-02-10","2.2796336206896526"
"2016-02-11","2.565301724137934"
"2016-02-12","5.389331896551717"
"2016-02-13","9.830032292787934"
"2016-02-14","9.548546824542534"
"2016-02-15","1.470290635091496"
"2016-02-16","0.20420258620689807"
"2016-02-17","1.1792249730893443"
"2016-02-18","2.534337997847147"
"2016-02-19","5.686314655172413"
"2016-02-20","5.734768568353066"
"2016-02-21","4.499246501614634"
"2016-02-22","2.723300970873784"
"2016-02-23","4.054418103448274"
"2016-02-24","0.9973060344827573"
"2016-02-25","-0.08674568965517333"
"2016-02-26","0.7719525350593314"
"2016-02-27","2.643965517241379"
"2016-02-28","4.310871905274491"
"2016-02-29","4.051727861771063"
"2016-03-01","0.42599784250269745"
"2016-03-02","1.5398706896551713"
"2016-03-03","3.785668103448278"
"2016-03-04","5.048546824542524"
"2016-03-05","7.184176533907431"
"2016-03-06","10.541271551724126"
"2016-03-07","10.81851453175458"
"2016-03-08","10.009687836383213"
"2016-03-09","5.647147470398273"
"2016-03-10","3.68622174381055"
"2016-03-11","2.726695371367062"
"2016-03-12","2.6072120559741663"
"2016-03-13","4.189558665231432"
"2016-03-14","4.871689989235739"
"2016-03-15","4.670689655172416"
"2016-03-16","6.542349137931031"
"2016-03-17","9.442995689655174"
"2016-03-18","10.819309600862997"
"2016-03-19","11.053928955866521"
"2016-03-20","7.420797413793097"
"2016-03-21","5.55026968716289"
"2016-03-22","6.822894168466521"
"2016-03-23","7.219417475728136"
"2016-03-24","5.120236813778253"
"2016-03-25","4.102475780409039"
"2016-03-26","4.957696447793333"
"2016-03-27","6.622712594187292"
"2016-03-28","7.540150699677058"
"2016-03-29","8.462755651237883"
"2016-03-30","10.563724434876196"
"2016-03-31","10.247039827771806"
"2016-04-01","10.05748116254037"
"2016-04-02","10.885683530678147"
"2016-04-03","12.832219827586206"
"2016-04-04","11.149784482758612"
"2016-04-05","10.348168103448277"
"2016-04-06","11.38997844827585"
"2016-04-07","12.318898488120986"
"2016-04-08","12.161422413793101"
"2016-04-09","12.30355220667384"
"2016-04-10","11.350699677072113"
"2016-04-11","7.759203444564045"
"2016-04-12","8.624461206896552"
"2016-04-13","12.317761033369202"
"2016-04-14","14.192572658772919"
"2016-04-15","11.094073275862053"
"2016-04-16","12.27675675675674"
"2016-04-17","14.543336944745413"
"2016-04-18","11.944528710725892"
"2016-04-19","10.633152762730216"
"2016-04-20","11.945032397408202"
"2016-04-21","14.244552319309586"
"2016-04-22","14.786947141316073"
"2016-04-23","13.84822389666313"
"2016-04-24","13.206673842841754"
"2016-04-25","13.31916038751343"
"2016-04-26","14.484822389666327"
"2016-04-27","13.395150862068995"
"2016-04-28","12.306034482758662"
"2016-04-29","10.285145317545764"
"2016-04-30","11.202047413793107"
"2016-05-01","13.342672413793103"
"2016-05-02","14.888697524219586"
"2016-05-03","17.557588805166834"
"2016-05-04","17.10635091496234"
"2016-05-05","16.2036598493003"
"2016-05-06","14.973950484391843"
"2016-05-07","16.158234660925732"
"2016-05-08","15.93821313240042"
"2016-05-09","15.441765339074278"
"2016-05-10","16.369429494079633"
"2016-05-11","15.042780172413773"
"2016-05-12","15.133405172413795"
"2016-05-13","17.378256189451058"
"2016-05-14","17.22604951560822"
"2016-05-15","17.321636167922495"
"2016-05-16","16.658557588805156"
"2016-05-17","15.272658772874069"
"2016-05-18","16.569181034482757"
"2016-05-19","17.520258620689606"
"2016-05-20","17.874919268030148"
"2016-05-21","18.2425188374596"
"2016-05-22","19.094940796555438"
"2016-05-23","19.556081808396172"
"2016-05-24","19.723358449946225"
"2016-05-25","19.364655172413812"
"2016-05-26","20.95021551724144"
"2016-05-27","19.307758620689647"
"2016-05-28","18.03035522066735"
"2016-05-29","18.2194833153929"
"2016-05-30","18.056465517241392"
"2016-05-31","18.96928879310345"
"2016-06-01","16.6995694294941"
"2016-06-02","15.395909580193752"
"2016-06-03","16.101291711517742"
"2016-06-04","17.27018299246498"
"2016-06-05","17.116254036598487"
"2016-06-06","18.09698600645857"
"2016-06-07","19.025296017222825"
"2016-06-08","20.030678148546848"
"2016-06-09","19.811853448275873"
"2016-06-10","20.375565123788995"
